
       Данные на  18-11-2002 09:47:00
       Начало         Продолжит   Абонент      СЛ     Номер
16-10-2002 17:02:52   00:01:08   246( 101)     04     80957273038
16-10-2002 17:57:12   00:02:32   246( 101)     03     824851543
17-10-2002 10:02:12   00:03:52   210( 140)     04     83912236273
17-10-2002 10:17:24   00:01:08   246( 101)     03     824851543
17-10-2002 11:05:00   00:03:44   241( 169)     02     825948619
17-10-2002 11:09:04   00:04:16   241( 169)     07     825948619
17-10-2002 14:05:48   00:01:44   216( 173)     04     83834721316
17-10-2002 14:18:00   00:12:40   245( 104)     02     83852234616
17-10-2002 14:57:04   00:01:32   245( 104)     01     83919343489
17-10-2002 15:49:04   00:02:12   245( 104)     01     83919343489
17-10-2002 16:06:28   00:01:08   210( 140)     04     88655221847
17-10-2002 16:15:28   00:01:52   226( 103)     04     83852778465
17-10-2002 17:02:36   00:04:40   210( 140)     02     88655221847
17-10-2002 17:25:16   00:01:20   226( 103)     01     89039040564
17-10-2002 17:48:52   00:02:16   246( 101)     01     824851543
17-10-2002 18:08:56   00:01:00   210( 140)     01     83915621756
17-10-2002 18:15:24   00:02:40   210( 140)     01     83915621756
17-10-2002 18:21:52   00:03:36   210( 140)     01     83915621756
17-10-2002 18:48:16   00:12:16   210( 140)     01     83915621756
18-10-2002 10:10:56   00:04:04   241( 169)     01     825948616
18-10-2002 10:49:32   00:01:16   216( 173)     03     824721316
18-10-2002 10:51:24   00:06:48   216( 173)     04     824722141
18-10-2002 11:33:48   00:01:32   230( 102)     07     89039040564
18-10-2002 11:36:24   00:01:52   245( 104)     01     83919343489
18-10-2002 11:40:28   00:02:00   246( 101)     05     83812233415
18-10-2002 11:45:20   00:01:56   246( 101)     02     83852354051
18-10-2002 11:57:28   00:01:28   224( 105)     03     84162352281
18-10-2002 13:14:00   00:03:16   224( 105)     01     84162352281
18-10-2002 13:37:24   00:07:32   246( 101)     02     824045648
18-10-2002 13:49:52   00:02:00   245( 104)     01     83933413008
18-10-2002 14:16:24   00:03:32   216( 173)     01     89021521060
18-10-2002 14:25:24   00:20:04   226( 103)     03     83842312786
18-10-2002 14:47:24   00:03:08   246( 101)     03     83952242607
18-10-2002 14:49:36   00:02:12   202( 125)     07     80957788615
18-10-2002 15:21:20   00:01:56   226( 103)     03     83842312786
18-10-2002 15:50:44   00:04:52   245( 104)     01     88312359977
18-10-2002 15:55:20   00:05:44   226( 103)     05     83812333529
18-10-2002 16:30:52   00:02:00   245( 104)     01     83919343489
18-10-2002 16:38:32   00:02:24   246( 101)     01     824851543
18-10-2002 16:44:40   00:01:36   225( 112)     01     88632388745
18-10-2002 17:36:56   00:01:16   226( 103)     01     83812333529
18-10-2002 17:36:20   00:02:28   245( 104)     02     83232471617
18-10-2002 18:24:20   00:01:28   246( 101)     01     83812268022
18-10-2002 18:43:12   00:01:00   204( 100)     01     824942236
18-10-2002 18:44:44   00:10:36   204( 100)     01     824942236
18-10-2002 19:16:40   00:01:16   204( 100)     01     89272516296
18-10-2002 19:19:28   00:08:00   204( 100)     01     89033161916
20-10-2002 13:14:04   00:08:52   204( 100)     01     824143615
20-10-2002 13:55:32   00:03:40   226( 103)     01     83812268022
20-10-2002 17:47:24   00:01:24   226( 103)     01     83912560909
20-10-2002 20:19:52   00:01:08   226( 103)     01     83912560909
20-10-2002 22:05:12   00:01:32   226( 103)     01     83812502124
21-10-2002 11:18:36   00:07:08   226( 103)     03     83842312786
21-10-2002 11:27:48   00:01:08   245( 104)     07     83952208001
21-10-2002 11:34:08   00:01:32   204( 100)     04     83912297984
21-10-2002 11:31:20   00:08:00   245( 104)     07     84212315196
21-10-2002 12:27:48   00:11:52   245( 104)     05     88462427176
21-10-2002 13:03:08   00:01:36   245( 104)     01     80852795894
21-10-2002 13:12:36   00:01:44   224( 105)     02     80959213362
21-10-2002 13:22:32   00:01:16   245( 104)     02     83953413160
21-10-2002 13:29:48   00:02:28   245( 104)     05     84114741418
21-10-2002 13:38:04   00:01:00   204( 100)     01     89029890915
21-10-2002 14:00:12   00:01:40   245( 104)     04     80742485932
21-10-2002 14:04:20   00:05:56   224( 105)     05     88482296038
21-10-2002 14:15:32   00:01:28   246( 101)     02     83916122796
21-10-2002 14:09:48   00:08:20   226( 103)     01     83812333529
21-10-2002 14:23:24   00:01:16   224( 105)     03     80112227422
21-10-2002 14:27:16   00:01:44   224( 105)     03     80112577240
21-10-2002 14:31:24   00:01:00   224( 105)     04     80112227422
21-10-2002 14:29:52   00:02:40   226( 103)     07     83852778465
21-10-2002 14:40:56   00:01:32   224( 105)     07     80112227422
21-10-2002 14:56:52   00:01:04   226( 103)     02     83842312786
21-10-2002 14:58:08   00:03:28   224( 105)     03     83512637538
21-10-2002 14:43:16   00:26:48   241( 169)     05     825948616
21-10-2002 15:13:08   00:01:20   224( 105)     02     80112577240
21-10-2002 15:16:48   00:01:36   224( 105)     01     80112279251
21-10-2002 15:20:20   00:01:08   224( 105)     04     80112227423
21-10-2002 15:22:04   00:01:40   224( 105)     07     80112577239
21-10-2002 15:25:28   00:01:12   224( 105)     07     80112536832
21-10-2002 15:16:32   00:13:36   226( 103)     03     83852778465
21-10-2002 15:40:36   00:01:00   226( 103)     01     80872206395
21-10-2002 15:38:12   00:04:56   224( 105)     07     80112445266
21-10-2002 15:59:28   00:03:20   224( 105)     01     83272740000
21-10-2002 16:18:52   00:02:24   226( 103)     05     80872206395
21-10-2002 16:26:52   00:01:36   226( 103)     07     83512748521
21-10-2002 16:21:28   00:07:12   224( 105)     01     83272740000
21-10-2002 16:55:56   00:01:32   226( 103)     02     83512748521
21-10-2002 16:56:00   00:01:32   224( 105)     03     83512630854
21-10-2002 16:58:56   00:04:32   216( 173)     02     89029234436
21-10-2002 17:03:20   00:01:20   224( 105)     05     83512630754
21-10-2002 17:10:08   00:01:32   226( 103)     01     83512692378
21-10-2002 17:49:24   00:03:12   224( 105)     01     88432432733
21-10-2002 17:55:12   00:01:24   226( 103)     01     83812333529
21-10-2002 18:20:20   00:07:16   210( 140)     02     83942256896
21-10-2002 18:37:44   00:02:48   225( 112)     01     83432702532
21-10-2002 18:37:16   00:04:12   224( 105)     02     88432432692
21-10-2002 18:48:00   00:02:40   224( 105)     02     88482296038
21-10-2002 19:00:00   00:03:28   224( 105)     02     80912445673
21-10-2002 20:54:56   00:01:04   224( 105)     01     80742485932
22-10-2002 08:57:52   00:03:40   246( 101)     01     824851543
22-10-2002 10:19:32   00:01:40   226( 103)     03     83834323634
22-10-2002 10:28:52   00:01:16   226( 103)     02     83437772447
22-10-2002 14:30:20   00:06:16   226( 103)     05     83842312786
22-10-2002 14:43:08   00:02:12   245( 104)     03     84114741418
22-10-2002 14:47:20   00:01:00   245( 104)     01     83854334849
