
       Данные на  05-12-2002 15:44:36
       Начало         Продолжит   Абонент      СЛ     Номер
07-05-2001 11:02:52   00:00:56   225( 102)     236    80382762752
07-05-2001 11:04:28   00:00:48   225( 102)     234    80382762752
07-05-2001 11:42:04   00:00:36   225( 102)     234    80382762752
07-05-2001 11:43:04   00:00:36   225( 102)     234    80382764853
07-05-2001 13:00:20   00:00:56   205( 110)     224    829421241
07-05-2001 14:19:08   00:00:12   225( 102)     210    80382762752
07-05-2001 14:19:36   00:00:32   225( 102)     222    80382764853
07-05-2001 14:20:24   00:00:12   225( 102)     210    80382762752
07-05-2001 14:20:40   00:00:16   225( 102)     210    8
07-05-2001 14:21:16   00:01:24   225( 102)     210    80382762752
07-05-2001 19:24:24   00:02:44   205( 110)     210    88005000250
08-05-2001 11:54:00   00:00:52   225( 102)     270    80322225151
08-05-2001 11:55:40   00:02:36   237( 117)     262    80572194712
08-05-2001 12:27:36   00:00:12   237( 117)     274    8
08-05-2001 12:28:16   00:02:52   237( 117)     214    80572194712
14-05-2001 15:27:24   00:02:08   237( 117)     220    80472638747
15-05-2001 16:49:36   00:03:36   237( 117)     234    80384934110
16-05-2001 09:15:28   00:00:44   225( 102)     214    80322225151
16-05-2001 15:10:44   00:01:40   237( 117)     210    80362269511
16-05-2001 15:13:08   00:02:48   237( 117)     202    80642535401
17-05-2001 09:12:12   00:00:32   225( 102)     224    80322975808
17-05-2001 09:13:08   00:00:12   225( 102)     234    80322726073
17-05-2001 09:13:40   00:00:48   225( 102)     204    80322729230
17-05-2001 09:15:52   00:00:44   225( 102)     222    80382711000
17-05-2001 10:06:40   00:00:52   225( 102)     236    80322726073
17-05-2001 15:32:00   00:01:40   225( 102)     204    80342225151
18-05-2001 09:15:36   00:00:16   237( 117)     236    8
18-05-2001 09:16:56   00:00:16   237( 117)     220    80572122255
18-05-2001 09:23:28   00:01:36   237( 117)     210    80572282330
21-05-2001 12:54:04   00:00:12   237( 117)     236    80342225151
21-05-2001 12:54:44   00:00:12   237( 117)     236    80342225151
21-05-2001 15:37:32   00:00:16   237( 117)     234    803222
21-05-2001 15:39:08   00:03:36   237( 117)     214    80342225151
22-05-2001 10:21:04   00:02:20   237( 117)     204    80382710900
22-05-2001 11:25:52   00:00:12   237( 117)     204    80382711000
22-05-2001 11:26:28   00:01:32   237( 117)     204    80382710505
23-05-2001 14:05:20   00:00:48   225( 102)     204    80572435094
23-05-2001 14:06:32   00:01:00   225( 102)     214    80572435094
25-05-2001 13:38:16   00:02:32   225( 102)     222    80542221496
25-05-2001 14:35:44   00:03:00   237( 117)     214    80342223581
25-05-2001 14:39:44   00:02:28   237( 117)     222    80542221693
28-05-2001 09:05:44   00:01:00   225( 102)     214    80642551712
28-05-2001 09:59:16   00:01:48   237( 117)     214    80542221693
28-05-2001 10:56:28   00:01:28   237( 117)     234    80503310202
28-05-2001 10:58:16   00:00:28   237( 117)     214    80503310202
28-05-2001 10:59:28   00:02:04   237( 117)     204    80503310202
28-05-2001 11:17:00   00:00:20   237( 117)     234    8
28-05-2001 11:17:52   00:01:32   237( 117)     234    80542221693
28-05-2001 11:20:04   00:02:48   237( 117)     222    80542221693
28-05-2001 11:29:40   00:07:28   237( 117)     234    80542221693
31-05-2001 14:53:48   00:00:16   225( 102)     222    80542221496
31-05-2001 14:54:20   00:00:12   225( 102)     222    80542221496
31-05-2001 14:54:52   00:00:16   225( 102)     224    80542221496
31-05-2001 14:55:24   00:00:16   225( 102)     222    80542221496
31-05-2001 14:53:08   00:04:28   237( 117)     236    80642523121
31-05-2001 15:00:20   00:08:00   225( 102)     222    80542221496
31-05-2001 16:21:48   00:00:20   237( 117)     214    8
31-05-2001 16:22:36   00:00:36   237( 117)     222    80642523121
31-05-2001 16:23:32   00:00:44   237( 117)     224    80642523121
31-05-2001 16:24:24   00:00:32   237( 117)     214    8
31-05-2001 16:25:08   00:00:20   237( 117)     204    80642
31-05-2001 16:26:04   00:04:36   237( 117)     222    80642523121
31-05-2001 16:37:36   00:01:20   237( 117)     224    80503310202
01-06-2001 10:30:24   00:00:16   225( 102)     224    80612642507
01-06-2001 10:31:00   00:04:20   225( 102)     204    80612645443
01-06-2001 12:33:12   00:00:24   237( 117)     222    80484932402
01-06-2001 12:34:36   00:00:28   237( 117)     222    80484932402
05-06-2001 12:27:52   00:01:12   237( 117)     224    80503310202
05-06-2001 12:29:20   00:00:12   237( 117)     224    82281702
05-06-2001 12:33:08   00:00:24   237( 117)     234    83310202
05-06-2001 12:34:08   00:00:12   237( 117)     236    80503310202
